region_id,category,year,sust_tonnes_sum,area_sum
1,fish,2011,2919,7
1,fish,2012,275.75,7
1,fish,2013,245,7
1,fish,2014,226.5,7
1,fish,2015,236.33333333333334,7
1,fish,2016,206,7
1,other fisheries animals,2011,13327.083333333334,0
1,other fisheries animals,2012,402.5,0
1,other fisheries animals,2013,358.25,0
1,other fisheries animals,2014,377.6666666666667,0
1,other fisheries animals,2015,305.33333333333337,12
1,other fisheries animals,2016,294,0
1,seaweed,2011,46505.91666666667,1570
1,seaweed,2012,41865.5,1202
1,seaweed,2013,37175.25,987
1,seaweed,2014,35589,987
1,seaweed,2015,35264,970
1,seaweed,2016,33780.5,1202
1,shellfish,2011,7261.166666666667,6
1,shellfish,2012,6200.916666666667,6
1,shellfish,2013,5751.333333333333,221
1,shellfish,2014,5338.75,232
1,shellfish,2015,5365.333333333333,239
1,shellfish,2016,2874,6
2,crustacean,2011,126.75,0
2,crustacean,2012,128.5,0
2,crustacean,2013,136.58333333333334,0
2,crustacean,2014,159.25,103
2,crustacean,2015,171.66666666666666,94
2,crustacean,2016,170.5,94
2,fish,2011,62.5,133
2,fish,2012,40,110
2,fish,2013,0,110
2,fish,2014,3,7
2,fish,2015,3,5
2,fish,2016,3,5
2,seaweed,2011,1219.25,799
2,seaweed,2012,1483.75,339
2,seaweed,2013,2196.25,289
2,seaweed,2014,2815.6666666666665,289
2,seaweed,2015,2806.8333333333335,295
2,seaweed,2016,2990.5,269
2,shellfish,2011,457.8333333333333,1664
2,shellfish,2012,442.6666666666667,1025
2,shellfish,2013,631,1111
2,shellfish,2014,805.4166666666666,1168
2,shellfish,2015,654,1240
2,shellfish,2016,664,1247
3,fish,2011,544.75,6.99
3,fish,2012,417.5,7
3,fish,2013,350,7
3,fish,2014,347.5,7
3,fish,2015,282,7
3,fish,2016,314.5,7
3,other fisheries animals,2011,17.5,12
3,other fisheries animals,2012,17.5,12
3,other fisheries animals,2013,17.5,12
3,other fisheries animals,2014,20,12
3,other fisheries animals,2015,0,12
3,other fisheries animals,2016,0,12
3,seaweed,2011,6455.75,270
3,seaweed,2012,5955.5,263
3,seaweed,2013,5914,250
3,seaweed,2014,5870,245
3,seaweed,2015,5246,237
3,seaweed,2016,5723,232
3,shellfish,2011,32,115
3,shellfish,2012,33.5,114
3,shellfish,2013,35,153
3,shellfish,2014,35.25,159
3,shellfish,2015,36.333333333333336,158
3,shellfish,2016,37,163
4,crustacean,2011,66.5,27
4,crustacean,2012,71.75,27
4,crustacean,2013,77.25,27
4,crustacean,2014,90.75,27
4,crustacean,2015,99.66666666666667,27
4,crustacean,2016,106.5,27
4,fish,2011,30.333333333333332,2
4,fish,2012,26.75,2
4,fish,2013,37,2
4,fish,2014,32.25,2
4,fish,2015,32.333333333333336,2
4,fish,2016,36,2
4,seaweed,2011,10031,0
4,seaweed,2012,10128,0
4,seaweed,2013,12028.25,0
4,seaweed,2014,13384.25,20
4,seaweed,2015,13959,20
4,seaweed,2016,14542,20
4,shellfish,2011,0,25
4,shellfish,2012,566,25
4,shellfish,2013,566,25
4,shellfish,2014,566,55
4,shellfish,2015,566,108
4,shellfish,2016,0,110
5,crustacean,2011,2,0
5,crustacean,2012,1.25,0
5,crustacean,2013,1.75,0
5,crustacean,2014,1.75,0
5,crustacean,2015,1.6666666666666667,0
5,crustacean,2016,2,0
5,fish,2011,153,9
5,fish,2012,146.75,9
5,fish,2013,141.75,19
5,fish,2014,190.5,19
5,fish,2015,185,19
5,fish,2016,186,19
5,other fisheries animals,2011,1604,2679
5,other fisheries animals,2012,1601.25,2793
5,other fisheries animals,2013,1549.5,2916
5,other fisheries animals,2014,1805.5,2107
5,other fisheries animals,2015,2036.3333333333333,4108
5,other fisheries animals,2016,2493.5,3406
5,seaweed,2011,154,146
5,seaweed,2012,160,107
5,seaweed,2013,161.25,88
5,seaweed,2014,171,35
5,seaweed,2015,169,63
5,seaweed,2016,178,27
5,shellfish,2011,363.25,821
5,shellfish,2012,345.75,811
5,shellfish,2013,314.25,815
5,shellfish,2014,269.25,1807
5,shellfish,2015,264.3333333333333,603
5,shellfish,2016,306,2627
6,crustacean,2011,677.75,120
6,crustacean,2012,766.75,72
6,crustacean,2013,765.5,70
6,crustacean,2014,784.6666666666666,67
6,crustacean,2015,802.6666666666666,70
6,crustacean,2016,803,67
6,fish,2011,2497.6666666666665,135
6,fish,2012,2750.3333333333335,129
6,fish,2013,3013.0833333333335,134
6,fish,2014,3000.9166666666665,141
6,fish,2015,3047.6666666666665,134
6,fish,2016,2920,119
6,other fisheries animals,2011,41,792
6,other fisheries animals,2012,33,1003
6,other fisheries animals,2013,14,1111
6,other fisheries animals,2014,11.666666666666666,1215
6,other fisheries animals,2015,6,1248
6,other fisheries animals,2016,3,1232
6,seaweed,2011,24633.75,2850
6,seaweed,2012,30898.5,3007
6,seaweed,2013,34029.75,2913
6,seaweed,2014,38346.25,2839
6,seaweed,2015,38733.66666666667,2939
6,seaweed,2016,36103,2699
6,shellfish,2011,10908.25,4670
6,shellfish,2012,8960.5,4580
6,shellfish,2013,8001.5,5043
6,shellfish,2014,7248.333333333333,5157
6,shellfish,2015,7343.333333333334,5137
6,shellfish,2016,7539.5,5145
7,crustacean,2011,107.5,0
7,crustacean,2012,118.75,0
7,crustacean,2013,120.5,0
7,crustacean,2014,133,0
7,crustacean,2015,123,0
7,crustacean,2016,137.5,0
7,fish,2011,138.41666666666666,309
7,fish,2012,168.91666666666666,311
7,fish,2013,171.16666666666666,310
7,fish,2014,184.33333333333334,308
7,fish,2015,195.66666666666666,305
7,fish,2016,159,288
7,seaweed,2011,24975.5,4871
7,seaweed,2012,23175.5,1859
7,seaweed,2013,21537,1889
7,seaweed,2014,22550,1860
7,seaweed,2015,20136.666666666668,1700
7,seaweed,2016,18078.5,1734
7,shellfish,2011,7946.75,3129
7,shellfish,2012,5692.5,3046
7,shellfish,2013,2633.9166666666665,2910
7,shellfish,2014,4205.333333333333,3e3
7,shellfish,2015,5383.5,2944
7,shellfish,2016,7077.5,2977
8,crustacean,2011,2066,174
8,crustacean,2012,2419,174
8,crustacean,2013,3046.3333333333335,183
8,crustacean,2014,3681,181
8,crustacean,2015,3990,165
8,crustacean,2016,4326.5,192
8,fish,2011,23400,703
8,fish,2012,23719.25,686
8,fish,2013,24620.416666666668,573
8,fish,2014,24760,555
8,fish,2015,25375.333333333332,494
8,fish,2016,24353,485
8,other fisheries animals,2011,63.75,91
8,other fisheries animals,2012,4.5,106
8,other fisheries animals,2013,43,157
8,other fisheries animals,2014,78.75,97
8,other fisheries animals,2015,95,124
8,other fisheries animals,2016,129.5,145
8,seaweed,2011,891697,71173
8,seaweed,2012,937051.25,72258
8,seaweed,2013,990664,76247
8,seaweed,2014,1067007,79033
8,seaweed,2015,1089795,83150
8,seaweed,2016,1157447,84409
8,shellfish,2011,34072.25,26271
8,shellfish,2012,36423.5,27777
8,shellfish,2013,37497.75,26639
8,shellfish,2014,44793.5,26969
8,shellfish,2015,46997.666666666664,27193
8,shellfish,2016,46621.5,28497
9,crustacean,2011,0,0
9,crustacean,2012,0,0
9,crustacean,2013,0,0
9,crustacean,2014,4,0
9,crustacean,2015,4,0
9,crustacean,2016,4,0
9,fish,2011,3106.9166666666665,79
9,fish,2012,2779.9166666666665,69
9,fish,2013,2508.0833333333335,61
9,fish,2014,2437.5,62
9,fish,2015,2501,61
9,fish,2016,2425,63
9,other fisheries animals,2011,1285.5,670
9,other fisheries animals,2012,1281.75,667
9,other fisheries animals,2013,1279.25,709
9,other fisheries animals,2014,1489.75,749
9,other fisheries animals,2015,1452.6666666666667,3035
9,other fisheries animals,2016,1322,2993
9,seaweed,2011,1297.75,40
9,seaweed,2012,1222.25,54
9,seaweed,2013,1159,62
9,seaweed,2014,1116.5,62
9,seaweed,2015,971.3333333333333,26
9,seaweed,2016,1052,75
9,shellfish,2011,36.666666666666664,2516
9,shellfish,2012,31.75,2281
9,shellfish,2013,33.5,2287
9,shellfish,2014,24.25,2288
9,shellfish,2015,12,31
9,shellfish,2016,9.5,56
10,crustacean,2011,26,30
10,crustacean,2012,26.25,30
10,crustacean,2013,44,30
10,crustacean,2014,70.75,30
10,crustacean,2015,89.33333333333333,30
10,crustacean,2016,111.5,30
10,fish,2011,21945.25,372
10,fish,2012,21283.75,372
10,fish,2013,22558,365
10,fish,2014,22891.583333333332,354
10,fish,2015,23649,337
10,fish,2016,24541.5,335
10,other fisheries animals,2011,13942.25,1439
10,other fisheries animals,2012,14149.5,1199
10,other fisheries animals,2013,16524.5,1195
10,other fisheries animals,2014,21327.25,1204
10,other fisheries animals,2015,24234,1191
10,other fisheries animals,2016,30081.5,1189
10,seaweed,2011,6541.25,117
10,seaweed,2012,6342.25,156
10,seaweed,2013,6562.75,177
10,seaweed,2014,6869.25,224
10,seaweed,2015,7433,251
10,seaweed,2016,8262.5,262
10,shellfish,2011,292498,9570
10,shellfish,2012,294176,9810
10,shellfish,2013,286279.8333333333,9810
10,shellfish,2014,279751.6666666667,9782
10,shellfish,2015,291748.1666666667,9895
10,shellfish,2016,289063.5,9820
11,crustacean,2011,1.25,0
11,crustacean,2012,1.5,0
11,crustacean,2013,1.75,0
11,crustacean,2014,2.25,0
11,crustacean,2015,2.6666666666666665,0
11,crustacean,2016,2.5,0
11,fish,2011,23636.666666666668,18
11,fish,2012,24975.666666666668,38
11,fish,2013,26147.166666666668,32
11,fish,2014,26683,39
11,fish,2015,27650.666666666664,39
11,fish,2016,27720,79
11,other fisheries animals,2011,14,26
11,other fisheries animals,2012,14,948
11,other fisheries animals,2013,6.333333333333333,47
11,other fisheries animals,2014,1,47
11,other fisheries animals,2015,1,71
11,other fisheries animals,2016,1,87
11,shellfish,2011,23.25,967
11,shellfish,2012,21.5,36
11,shellfish,2013,20.75,965
11,shellfish,2014,24,558
11,shellfish,2015,26,558
11,shellfish,2016,27.5,558
